Industry,IndustrySeq
n/a,0
Air Freight/Delivery Services,1
Automotive Aftermarket,2
Biotechnology: Commercial Physical & Biological Resarch,3
Business Services,4
Clothing/Shoe/Accessory Stores,5
Computer Manufacturing,6
Computer Software: Prepackaged Software,7
"Computer Software: Programming, Data Processing",8
Diversified Commercial Services,9
EDP Services,10
Electric Utilities: Central,11
Food Distributors,12
Forest Products,13
Home Furnishings,14
Hospital/Nursing Management,15
Industrial Machinery/Components,16
Integrated oil Companies,17
Investment Managers,18
Life Insurance,19
Major Banks,20
Major Chemicals,21
Major Pharmaceuticals,22
Marine Transportation,23
Medical Specialities,24
Medical/Dental Instruments,25
Medical/Nursing Services,26
Oil & Gas Production,27
Oil/Gas Transmission,28
Oilfield Services/Equipment,29
Ordnance And Accessories,30
Other Specialty Stores,31
Packaged Foods,32
Paper,33
Precious Metals,34
Property-Casualty Insurers,35
Real Estate,36
Real Estate Investment Trusts,37
Recreational Products/Toys,38
Restaurants,39
Savings Institutions,40
Specialty Foods,41
Telecommunications Equipment,42
Transportation Services,43
Water Supply,44
